id;Length;l_amps;n_amps;OSNRCONSTRAINT;OSNRPOGGIO;DELTA
1223;3440;43;42;13.904;-42.554;56.458
1224;3520;44;42;13.873;-44.315;58.187999999999995
1225;3600;45;42;13.842;-45.564;59.406
1226;3680;46;42;13.812;-46.533;60.345
1227;3760;47;42;13.782;-47.325;61.107
1228;3840;48;42;13.751;-47.995;61.745999999999995
1229;3920;49;42;13.722;-48.574;62.296
1230;4000;50;42;13.692;-49.086;62.778
1231;3360;42;43;13.864;13.864;0.0
1232;3440;43;43;13.833;-39.544;53.376999999999995
1233;3520;44;43;13.803;-42.554;56.357
1234;3600;45;43;13.772;-44.315;58.086999999999996
1235;3680;46;43;13.742;-45.564;59.306
1236;3760;47;43;13.713;-46.533;60.246
1237;3840;48;43;13.683;-47.325;61.008
1238;3920;49;43;13.653;-47.995;61.647999999999996
1239;4000;50;43;13.624;-48.574;62.198
1240;3440;43;44;13.763;13.763;0.0
1241;3520;44;44;13.733;-39.544;53.277
1242;3600;45;44;13.704;-42.554;56.258
1243;3680;46;44;13.674;-44.315;57.989
1244;3760;47;44;13.645;-45.564;59.209
1245;3840;48;44;13.615;-46.533;60.148
1246;3920;49;44;13.586;-47.325;60.911
1247;4000;50;44;13.558;-47.995;61.553
1248;3520;44;45;13.665;13.665;0.0
1249;3600;45;45;13.636;-39.544;53.17999999999999
1250;3680;46;45;13.607;-42.554;56.161
1251;3760;47;45;13.578;-44.315;57.893
1252;3840;48;45;13.549;-45.564;59.113
1253;3920;49;45;13.52;-46.533;60.053
1254;4000;50;45;13.492;-47.325;60.81700000000001
1255;3600;45;46;13.569;13.569;0.0
1256;3680;46;46;13.54;-39.544;53.083999999999996
1257;3760;47;46;13.512;-42.554;56.066
1258;3840;48;46;13.484;-44.315;57.799
1259;3920;49;46;13.455;-45.564;59.019
1260;4000;50;46;13.427;-46.533;59.96
1261;3680;46;47;13.475;13.475;0.0
1262;3760;47;47;13.447;-39.544;52.991
1263;3840;48;47;13.419;-42.554;55.973
1264;3920;49;47;13.391;-44.315;57.705999999999996
1265;4000;50;47;13.364;-45.564;58.928
1266;3760;47;48;13.383;13.383;0.0
1267;3840;48;48;13.355;-39.544;52.899
1268;3920;49;48;13.328;-42.554;55.882000000000005
1269;4000;50;48;13.301;-44.315;57.616
1270;3840;48;49;13.293;13.293;0.0
1271;3920;49;49;13.266;-39.544;52.809999999999995
1272;4000;50;49;13.239;-42.554;55.793000000000006
1273;3920;49;50;13.205;13.205;0.0
1274;4000;50;50;13.178;-39.544;52.721999999999994
